Date,AAPL,JPM,JNJ,XOM,PG,CAT,NEE,AMZN,LIN,PLD
2019-04-01,1.431595608008644,0.906427472841655,0.6701697275757387,0.8648122785821836,0.45145984105988785,1.5761501808419036,0.17516000563424697,1.8616943987190118,0.8313018104540801,0.6348715723587415
2019-04-02,1.4555329078686616,0.9076009878001017,0.6575740959133742,0.8652898857867805,0.43731103255955434,1.5876804939952514,0.1727283471074727,1.8511858264735268,0.8337057645714145,0.6235274398701625
2019-04-03,1.4600837303840961,0.9062743941106243,0.6458341546192911,0.8577572266971218,0.43347565857469733,1.5928828569901026,0.17524410221376097,1.8559227846962578,0.8356494119791222,0.6249949538977859
2019-04-04,1.4590136727320007,0.9044470263962847,0.6408608395151848,0.8644235367407938,0.43248474106364887,1.601295695047941,0.1751413517246956,1.8596963145089733,0.8363289171138278,0.6250503497673358
2019-04-05,1.4598791152476387,0.9012987838068092,0.6417271934113806,0.8620754850655409,0.4343132175566651,1.5976136352838692,0.1741481367202882,1.8554620151749532,0.834769142132008,0.6280372810848701
2019-04-08,1.4662814813116243,0.896686614999629,0.6358480271309681,0.8656439162689236,0.4382076617493096,1.5982867834912902,0.16958083812965732,1.8635038614936688,0.8283682123485367,0.632561483514325
2019-04-09,1.464068158157705,0.8959425294812263,0.6348895322781314,0.8682797708589824,0.4393922814264367,1.6029534515148707,0.16851048809316183,1.8633548430691098,0.8299196251175116,0.6338025598867371
2019-04-10,1.468380557896792,0.8929183769189423,0.6380157988388588,0.856665431047511,0.4432147253913991,1.5971287040718976,0.17154951262253845,1.8706534961373487,0.8248627933921729,0.640412603976645
2019-04-11,1.4693451606883554,0.8897887978791464,0.6377167673766287,0.8590044743047892,0.4432179435170843,1.5971249472075357,0.17028338502619786,1.8715768040123206,0.8222704304497391,0.6412606564344526
2019-04-12,1.4673794549666725,0.8949131904840548,0.637809636797454,0.8574178612353968,0.4467155482490798,1.5954398190551453,0.1759374511408264,1.8682222223527192,0.8183713900807921,0.6451149781530372
2019-04-15,1.4683356519793729,0.8918945003298215,0.638077366013195,0.8590557717127904,0.4475548180702268,1.5965091298263727,0.17689888163480957,1.8670866228709935,0.818292639347558,0.6471839862186086
2019-04-16,1.47034052787817,0.8946578466058965,0.6369484988106936,0.8584084806369471,0.44819323377038733,1.59645432904458,0.1735261939014762,1.8699444510761096,0.8098602713770229,0.6472370438049115
2019-04-17,1.4686923125977207,0.895421370413826,0.6438323568970461,0.8633389934556926,0.45185429556965057,1.5994360960156924,0.1715289494468992,1.8589306032382358,0.8030772826725449,0.6314898283439742
2019-04-18,1.468835186128046,0.8951385116003383,0.6438847225028785,0.8628057114189289,0.451955288550945,1.599520724538365,0.17146071688467474,1.8583217483169199,0.8034087649838174,0.6323127008243035
2019-04-22,1.4634094266872417,0.9024487641145208,0.6444906370735624,0.8654163131269356,0.4434120276465128,1.60147013090918,0.17114218803610778,1.8665526053292572,0.8012362406738495,0.6311184811823821
2019-04-23,1.4523052660537634,0.902140042453173,0.6471999859599682,0.8654688476323324,0.4261497139894227,1.596840447270901,0.16514604012675524,1.8661525696160755,0.7994594088997634,0.6359196491278207
2019-04-24,1.4521213641540305,0.9020198332846102,0.6476677696844292,0.8676267348856093,0.42541611307630306,1.599959180039983,0.16504635758630912,1.8669484804763061,0.8003868035787721,0.6340374214704428
2019-04-25,1.455551506952109,0.9066272599834198,0.6496264763996419,0.8650906120657785,0.42401859303382067,1.5755809652188986,0.16992173250158477,1.8585552143645263,0.7922155345016588,0.6421827972088913
2019-04-26,1.4531960859229098,0.907608224152807,0.6498101802220363,0.8595315961221146,0.42840380594870986,1.5781548979822881,0.17162190711901779,1.861871572630906,0.792403194437531,0.6437800472454817
2019-04-29,1.4586601564322406,0.9117850061417729,0.6484009379520738,0.8555944212914927,0.42794307185822394,1.5818045809478478,0.16463926181465482,1.8527506000534746,0.777304138879408,0.6381521785181671
2019-04-30,1.4586038096507796,0.9119826471833078,0.6485711542155586,0.8568850397233793,0.4283077806414366,1.5822280055737394,0.1648228658066735,1.8515071054649395,0.7782828194993301,0.6382192940697756
2019-05-01,1.4487307098227733,0.9129790578675199,0.6415823061773404,0.8643045863434645,0.431191243814983,1.5853186015856868,0.16692891136777663,1.853592228503954,0.7807728273191501,0.6244151780985434
2019-05-02,1.4473527451352468,0.9127352550926924,0.6425702438805556,0.8673055091775974,0.43132424638361705,1.587647085972082,0.1684163775738231,1.8532893706451643,0.7789538334794341,0.6261965619456716
2019-05-03,1.4652677691063511,0.9111496375220589,0.6365800520801168,0.8663855585036669,0.4266444517931136,1.5962980360325525,0.1695943725275537,1.86102515495653,0.7738442701558336,0.625516383385511
2019-05-06,1.4679021058762183,0.9117056485545241,0.6355725633198377,0.8663113091131736,0.42806481972251287,1.5987064965539013,0.17100800650034806,1.8612414381173092,0.7775072127949503,0.6267590223449316
2019-05-07,1.4587977682857143,0.9130509331520168,0.63878463231613,0.8629011856406209,0.4264589997224784,1.5963467471705621,0.17203682590355582,1.859896883431139,0.7847853581781107,0.6392921574688591
2019-05-08,1.4582913221820377,0.9126205471687278,0.6398913907493932,0.8615104879337002,0.42751150454801373,1.5945710994641449,0.1737424384357221,1.8590601898283252,0.7835278156071546,0.639023052254034
2019-05-09,1.459391194139181,0.9127170869490497,0.6405956434119292,0.8613670598663211,0.42850727374514386,1.5946380793237178,0.1726152409321383,1.8595449978539107,0.7857363919894711,0.6381733938976205
2019-05-10,1.4594477998461288,0.9066955766752977,0.6402236264990375,0.8557525537336101,0.42753478319926197,1.5926669650416692,0.1802520051431041,1.86124324498712,0.7917450177862196,0.6422491207342409
2019-05-13,1.4836623991562536,0.9125024262718464,0.634997082335096,0.8395221787921525,0.415098112209963,1.6020207106313384,0.15493914551724122,1.8585470635225605,0.7765056658153391,0.6337632360854342
2019-05-14,1.4854598998738153,0.913111931193179,0.6312538793264592,0.8374969692286186,0.4117169068872013,1.6035689821050527,0.1540149491972747,1.857078955042596,0.7745042431574735,0.6332832173547068
2019-05-15,1.4863925406557426,0.9109037883984524,0.63072787452357,0.8379735985222334,0.4133948875081199,1.6010719274569545,0.15365417239666318,1.8585434553489404,0.7730521731080456,0.6346251449906054
2019-05-16,1.4801112158057985,0.9123470362606737,0.6309874912771752,0.8368937745786249,0.4153668661090259,1.5922607439853698,0.1545797756548172,1.8583532206769793,0.7861234195090089,0.6329339099415984
2019-05-17,1.478727982176584,0.9123290485224134,0.6295451773935473,0.8371463836965997,0.4160066637895746,1.5972438159777238,0.15411315542886608,1.8611280543425852,0.7833581746309346,0.6357355619637677
2019-05-20,1.4849364336141726,0.9087187396450255,0.6282529332482522,0.8353566154596832,0.4161936042827638,1.5945640546212345,0.1532906500188687,1.8589669074282145,0.788221099265631,0.6386198663233978
2019-05-21,1.4873942140041365,0.9054786654865755,0.6259370025036676,0.8339703196108063,0.410237438606711,1.5997056037121655,0.1515692994160826,1.8528349913085242,0.7894262485639667,0.6423104802013172
2019-05-22,1.4907146584261102,0.9054320800498525,0.628032201155564,0.8329149461333273,0.4086905708859567,1.5973965445047957,0.1427776275936094,1.8542490650902819,0.7887164115760844,0.6415249223490084
2019-05-23,1.4905896027608163,0.9115719420505244,0.6197554120282494,0.8391451879172283,0.40666343470856775,1.5908037645652482,0.13749104298372591,1.8557664477515843,0.7920650619183072,0.6388141244381036
2019-05-24,1.4900674860101921,0.9130081125899149,0.6194451636633114,0.8388045380100281,0.4066372159628437,1.5902553737494471,0.1368782948017075,1.8549727381771708,0.7936220613736058,0.6363408467707473
2019-05-28,1.4871072774556664,0.9132953028029277,0.6216209675544061,0.8415606539638241,0.41307648828881116,1.589284541689567,0.14130046093185603,1.8471267621154825,0.7977940525538747,0.6393501481855267
2019-05-29,1.4860111393642081,0.9118913393551795,0.6334138101703021,0.839758101320103,0.4141802844897969,1.5851766538318823,0.14574917542865076,1.8471322039660407,0.7983073480348093,0.643168906370557
2019-05-30,1.4932062326115745,0.8944739081980104,0.628615060842768,0.8425889942992293,0.4147952415840569,1.5877195955213412,0.1502313386105858,1.858124377313774,0.7904611444732761,0.6458829503138444
2019-05-31,1.5035468612814438,0.8873840490361407,0.625711221100443,0.8298755116902184,0.4232431442541749,1.588702223771801,0.14447966193577355,1.8663161470224752,0.7857022280684961,0.6392156657481558
2019-06-03,1.5064252803373304,0.8845935057068186,0.6230706198988046,0.82846779279556,0.4157061553012305,1.583833090861857,0.14470375333857816,1.876134981230757,0.7818547575393504,0.6356939318140709
2019-06-04,1.50966032864367,0.8937877957359992,0.6233653087342631,0.8348967392038589,0.4149239707338569,1.5670980318230117,0.14882105798539177,1.8652555014308205,0.7853697431972508,0.6194914125642608
